ID	PrimaryID	Title	Characteristics	ProjectTitle	IUBUnit	IUBWorker	DateCompleted	IntScore	IntNotes	ContScore	ContNotes	RareScore	RareNotes	DocScore	DocNotes	TechScore	TechUnknown	TechNotes	GenerationStatement	GenerationNotes	IntellectualPropertyStatement	IntellectualPropertyNotes	GeneralNotes
1	SC 7 cass1852-1922	"Mellonee Burnim Collection, Post-1991 cassettes"		Test Runs	3	6	4/20/12	3.4	"Primarily covers performances, rehearsals, and workshops at GMWA meetings from 1992-1995 (Chicago, Indianapolis, Cincinnati, Atlanta, and Los Angeles) as well as interviews with participants. Also includes performances and workshops by gospel groups in Zomba, Malawi (cass 1910-1916), a memorial services for Edward Smith and a funeral service for Mattie Moss Clark of Detroit, MI, and a service at the Light of the World Chuch in Indianapolis. Some documentation of events in Indianapolis (7 cassettes), but most likely to be of interest to researchers studying GMWA history and black gospel music. Probably not much widespread appeal."	2.4	"Probably the most thorough aural documentation of GMWA conferences and participants from 1992-1995, but given the wide temporal and geographic scope of these 71 cassettes, the amount of coverage of any one event is unlikely to be extremely thorough."	4	"There may be other recordings of the GMWA rehearsals and performances, but this is extremely difficult to ascertain. There are unlikely to be many, if any, recordings with the interviewees. Malawi recordings recorded same decade, but earlier than Clara Henderson’s research on gospel music and may be of different communities."	2.5	"Item-level finding aid will be available online once final approval is received. All cassettes have a content listing. The location, date, general content, and any primary informants/performers are generally identified. Song titles frequently are not identified and no contextualizing documentation (field notes, etc.) has been provided outside of the donor’s dissertation."	3	FALSE	Better than average audio quality for cassette recorded field recordings.	Original recording	Originals – digital access copies available.		Access restricted by Burnim.	
2	SC 39 series 3	"Smithsonian Black Radio Collection, Interview Series"		Test Runs	3	6	4/20/12	5	"Interviews with African American artists and music/radio executives who were instrumental in the founding and development of the American radio and music industries. Includes important figures such as Ewart Abner, Al Bell, James Brown, Frankie Crocker, Dr. Hepcat, Jack Gibson, Tom Joyner, and many more. Collection provides important insight into African American and media history and is one of the AAAMC’s most used collections. Also of interest to anyone in the general population interested in African American history and heritage."	5	Duration and quality of interviews is substantial and provides very thorough documentation of the history of black radio as well as information on the music industry and important events.	3.8	"Many of these famous figures did do frequent interviews (some of which are represented by other AAAMC collections), but not necessarily on these specific topics. “Rareness” will vary from interviewee to interviewee depending on how frequently they were willing to talk candidly and at length with interviewers and how often they reused rehearsed content for their interviews."	5	"Includes production materials, publicity for radio series, subject files, release forms, clippings about radio and the interviewees, and transcripts for 50%+ of the interviews. Item-level finding aid is available online and all of the interview cassettes have a content listing."	4	FALSE	"Some quality lost during transfer to cassette, but interviews were recorded by a professional production team for use in the creation of a broadcast radio series."	First copy	"First generation copies. Originals are DAT tapes recorded in 1995. DATs are in the possession of the producer, who has proven unwilling to deposit them to either Smithsonian or the AAAMC because of a falling out she had with Smithsonian when they closed her department."		"Co-own rights with Smithsonian Institution and generally ask them to grant permission on their end to create and distribute research copies as a courtesy. They often honor these requests, but not always. NOTE: Smithsonian does not possess its own copies."	
3	SC 90	Rhythm & Blues Foundation Collection		Test Runs	3	6	4/20/12	5	"Tapes consists primarily of interviews for the Rhythm & Blues Foundation's  production ""Let the Good Times Roll,"" 13 hour-long programs distributed by National Public Radio on the history of rhythm and blues music. The majority of the original interviews are missing. Existing interviews are oral histories with musicians and music industry executives such as Ahmet Ertegun, David Bartholomew, David “Panama” Francis, Martha Reeves, etc. They contain biographical information and information on the history of the music industry."	4	Duration and quality of interviews is substantial and provides very thorough documentation of the history of black radio as well as information on the music industry and important events.	3	"Many of these famous figures did do frequent interviews (some of which are represented by other AAAMC collections), but not necessarily on these specific topics. “Rareness” will vary from interviewee to interviewee depending on how frequently they were willing to talk candidly and at length with interviewers and how often they reused rehearsed content for their interviews. Probably not as rare as the Smithsonian Black Radio collection since the focus is more biographical as opposed to focused on the history of radio."	4	"Interview transcripts, photographs, administrative files (correspondence, contracts, etc. for the Let the Good Times Roll series). Researchers have reported numerous errors in transcripts."	4	FALSE	"Some quality lost during transfer to cassette, but interviews were recorded by a professional production team for use in the creation of a broadcast radio series."	Mix	Mix of original DATs and cassette copies. Still might receive original DATs in cases where we currently only have the earliest copy.	?	?	
4	65-291-F	"Colombia, Dept. Bolívar, George List, 1964"		Test Runs	7	6	4/24/12	4	There is a growing interest in this kind of music within Colombia and within the field of ethnomusicology in general.  We have two researchers at ATM working with these mateials right now	4	"While List was looking for the ""most traditional"" materials and surely ignored current popular forms the musiclans would have been playing, it also captures a broad range of genres from this part of Colombia."	4.25	Few field recordings were made in that part of Colombia at that time.	4	"List was meticulous and thorough, and wrote a significant book about these materials"	4.3	FALSE	A technical evaluation by an audio engineer  indicates that most of the recordings are in Fair to good condition with some wear and noise typical of recordings this age and in this format.	Original recordings	Originals	Option 1	No restrictions.	"List was faculty at IU, an early and active member of SEM, and the first full director of ATM"
5	68-063-F	"Colombia, Atlántico, Bolívar, Córdoba and Magdalena, George List, 1965"		Test Runs	7	6	4/24/12	4	There is a growing interest in this kind of music within Colombia and within the field of ethnomusicology in general.  We have two researchers at ATM working with these mateials right now	4	"While List was looking for the ""most traditional"" materials and surely ignored current popular forms the musiclans would have been playing, it also captures a broad range of genres from this part of Colombia."	4.25	Few field recordings were made in that part of Colombia at that time.	4	"List was meticulous and thorough, and wrote a significant book about these materials"	4.3	FALSE	A technical evaluation by an audio engineer  indicates that most of the recordings are in Fair to good condition with some wear and noise typical of recordings this age and in this format.	Originals	Originals	Option 1	No restrictions.	"List was faculty at IU, an early and active member of SEM, and the first full director of ATM"
6	69-145-F	"Colombia, Departamento de Bolívar, George List, 1968"		Test Runs	7	6	4/24/12	4	There is a growing interest in this kind of music within Colombia and within the field of ethnomusicology in general.  We have two researchers at ATM working with these mateials right now	4	"While List was looking for the ""most traditional"" materials and surely ignored current popular forms the musiclans would have been playing, it also captures a broad range of genres from this part of Colombia."	4.25	Few field recordings were made in that part of Colombia at that time.	4	"List was meticulous and thorough, and wrote a significant book about these materials"	4.3	FALSE	A technical evaluation by an audio engineer  indicates that most of the recordings are in Fair to good condition with some wear and noise typical of recordings this age and in this format.	Originals	Originals	Option 1	No restrictions.	"List was faculty at IU, an early and active member of SEM, and the first full director of ATM"
7	LMC 2420	Thomas mss. (Men in Space)	Portion of collection dealing with the Men in Space project.	Test Runs	5	6	4/30/12	4	"Interviews with people instrumental in starting our space program about its culture, life experiences, high level of historical importance."	3.2	100 people interviewed; those we know about are wide-ranging.	3	"Moderately rare, similar content can be found in other collections."	2	"Names, dates."	3	FALSE	A few have been digitized and could be evaluated.	Original recordings	Mentioned as such in correspondence with S. T.		"Work for hire -- contact person for estate, but not one where we know for sure it has distinct copyright issues.  Don't know if there are any releases.  Copies would be available for research purposes, but wouldn't need to get permission to allow researchers to use it."	
9	C400	Felix J. Oinas Papers		Test Runs	1	6	5/1/12	2	?	2	Presumably just a sampling	2	? Check	0.8	Minimal		TRUE		unknown		Owned by IU	No restrictions from donor; deed of gift exists.	"Tape box reads: ""Academy of Sciences USSR, Institute of Russian Lit., (Pushkin's House) Ancient Russian Folk Songs."""
10	C43	"Indiana University Hilltop Garden and Nature Center records, 1935-2007, bulk 1948-1975"		Test Runs	1	6	5/1/12	2	Both in Hilltop and in what they would study -- interest from Barbara Shalucha	1.2	"Very fragmentary, very low."	2	With regard to Shalucha presentations.	0.8	Minimal		TRUE		unknown	probably originals	Owned by IU	No restrictions from donor; deed of gift exists.	
17	2009/098	Jordan River Revue	Student performance tradition	Test Runs	1	6	6/12/12	3	"In context of university history, has moderate interest."	2	Only one piece of a larger series	4.5	Have descriptions but little audio.  Nobody else has any recordings of this revue.	4	Have programs etc.		TRUE		unknown		Copyright held by donor	"Probably student organization recording, would need to seek permission."	
18	2011/081	Creator: CeLTIE; Series: Tapes	CeLTIE tapes	Test Runs	1	6	6/12/12	4.4	Pretty prominent people.  Moderate with some major standout items.	2	Generally single lectures.	2.5	Only audio recordings of these presentations.  But probably many recordings of the people.	3.5	"Good descriptive information, plus contextualizing info elsewhere in archives"		TRUE		Mixed		Copyright held by donor	Recordings owned by IU but content copyright by donor.	
11	AAAI 1	Black Composer Speaks	NOTE: This collection is being transferred to the AAAMC	Test Runs	11	13	5/30/12	5	Topics of great interest.	3.5	"Range of people, not sure how detailed interviews are."	3	Other books & reference books	3	"? Some at AAAMC, may have some printed documentation.  Book is one type of documentation.  Possible notebooks."		TRUE	"Recorded at 1 7/8 ips, then dubbed to cassette."	mixed	"Open reel tapes are originals; cassette dubs exist of many of these, and a few cassettes exist where open reel tapes don't.  Also audio portion of a videotape on an audiocassette.  Possibly some original audiocassettes."		Something was presumably signed.  Track this down -- is it mentioned in the book?	
12	SC 144 series 4	"Craig Seymour Collection, Interview Series"		Test Runs	3	13	6/6/12	3.8	"Interviews with R&B musicians and record company personnel during the creations of Seymours pop music criticism columns and his biography on Luther Vandross, the latter of which includes discussion of Black gay culture/discrimination. Definite research potential for minority and LGBT-related research, although perhaps not as much widespread interest as there would be with interviews on more generalized topics. No real use as of yet, but could be due to access issues (i.e., no finding aid, cataloging record, or online collection description). Some big figures like Mick Jagger, Etta James, John Mellencamp, En Vogue, Chaka Khan, Mariah Carey, Janet Jackson, Mary Wilson, etc."	2.5	"Many of the interviews are short and discuss specific performances, albums, collaborations, etc. for the purpose of supporting Seymour’s column. The quality of some of the interviews is “sketchy” and some are difficult to follow. Not many interviews related to Vandross and Black gay culture, which would probably would have been of most use to researchers."	3	"Possibly some overlap with other interviews, particularly the interviews focused on artists’ recent or upcoming albums. Since specifically performed to fact check/fill out columns and the biography, the information is likely to be duplicated in Seymour’s publications."	3.8	"In addition to published monograph resulting from the interviews, we have Seymour’s research materials including articles (research files, artist publicity files, and subject files), but primarily publications by other people as opposed to Seymour’s own writing (notes, articles)"	3	FALSE	"Mix of in-person and phone interviews recorded on a cassette player. Audio quality is probably sufficient for research purposes, although distortion could cause some intelligibility issues, particularly in the case of the phone interviews."	originals			No individual release forms and some confidential information.	
13	SC 154	"James Spooner Collection, miniDVs"		Test Runs	3	13	6/6/12	4.5	"Examines the role of African Americans as audience members and performers in the predominantly White punk scene and the alienation and discrimination they face. The resulting film, Afro-Punk has been extremely popular and sparked an Afro-Punk movement."	4.8	"Very thorough and comprehensive documentation of the topic including performances and interviews by key Afro-Punk performers and a wide range of smaller performers. Frequent breaks in continuity of the footage, which makes it difficult to follow what’s going on sometimes."	4.8	"Some possible duplication, particularly for the interviews with the major bands, but most content likely to be unique or rare."	2.4	"Some minor production materials, but otherwise documentation consists of brief notes on containers and tape labels. Sometimes difficult to identify the event/person/context."	4	FALSE	"Footage was intended for production of documentary film and shot with pro-sumer equipment with this end in mind. Definitely better than the average field recording, but not quite as high as professionally shot footage."	originals	"34 tapes were digitized for collector and are saved in MDSS, on an external drive, and as DVD viewing copies. Did not like the job done by the transferring institution and would consider these access copies, not preservation copies even though captured at a high resolution."		No release forms from interviewees/performers.	
14	SC 141	John Jackson Collection		Test Runs	3	13	6/6/12	4	"Interviews with artists, songwriters, composers, producers and music industry executives about the Philadelphia music scene and Philadelphia International Records recorded from 2000-2003 for his book, House on Fire. This is a company of note and collection is likely to be of interest to anyone studying PIR records or the role of African Americans in the music industry."	4	Fairly thorough coverage of PIR artists and personal. Some of the interviews with producers and executives are on the shorter side and does not include many of the top PIR artists and execs.	4.8	Some possible duplication by other collections.	4.8	"Transcripts for most, but not all, interviews. Also includes subject files and book drafts."	2.5	FALSE	Quite a few phone interviews and intended for the purpose of recording oral histories as opposed to production.	originals			"""?"""	
15	SC 148	Roni Sarig Collection		Test Runs	3	13	6/6/12	4	Interviews for Roni Sarig’s book on Southern hip hop with a focus on key artists in each state. Becoming a hot area for research and this was the first book on Southern rap.	3.5	"A fairly wide area of coverage for the number of interviews (Houston, Florida, Atlanta, New Orleans, Memphis, Kentucky). Interviews are also on the short side (most about 30-45 minutes) so while relatively thorough coverage of Southern hip hop, coverage of specific cities, companies, artists, etc. won’t be as thorough."	4	"The Southern scene is still growing and is just starting to attract attention, so there’s unlikely to be a lot of formal interviews, but artists are making and releasing a lot of their own interviews through YouTube and other online sources.."	3.4	"In addition to published monograph resulting from the interviews, we have Sarig’s research files on various artists from each state. Documentation of tape content consists of interviewee names and there geographic representation."	3.2	FALSE	"Average quality for field cassettes. No major problems noted by students assessing the collection, but recorded for the purpose of obtaining oral histories as opposed to generating a documentary or other audio publication."	originals			"""?"""	
